"Protein","Count_ABP","Count_Comp","Count_NP","Mean_ABP","Mean_Comp","Mean_NP","Fold_change_ABP_vs_Comp","Fold_change_ABP_vs_NP","Fold_change_Comp_vs_NP","P_value_A_ABP_vs_Comp","P_value_A_ABP_vs_NP","P_value_A_Comp_vs_NP","Flag_A_ABP_vs_Comp","Flag_A_ABP_vs_NP","Flag_A_Comp_vs_NP"
"tr|D4A2D8|D4A2D8_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"sp|Q5RJT2|SPB1_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"tr|D4A8K3|D4A8K3_RAT",2,2,0,0.713303592625035,1.33954560467937,NA,-0.626242012054334,NA,NA,0.42021286961865,NA,NA,0,0,0
"sp|P10719|ATPB_RAT",3,3,1,2.5575482190989,2.26631675958185,-1.67752701574207,0.291231459517046,4.23507523484096,3.94384377532392,0.399082816724587,0.000633172064814179,0.000833239083968867,0,1,1
"sp|Q68FX0|IDH3B_RAT",3,3,0,2.17467281234297,2.11546716454312,NA,0.0592056477998559,NA,NA,0.834657353164081,NA,NA,0,0,0
"tr|D4A8H5|D4A8H5_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"tr|M0R439|M0R439_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"sp|Q9JIX5|CHD8_RAT",3,2,3,0.908631832249999,1.50862265836174,1.51630427670832,-0.599990826111739,-0.607672444458318,-0.00768161834657977,0.413793281972043,0.359364295714244,0.991340564897256,0,0,0
"sp|Q3T1J2|MBOA2_RAT",3,3,0,1.11499935254537,1.13091539693232,NA,-0.0159160443869517,NA,NA,0.977281098262812,NA,NA,0,0,0
"sp|P29101|SYT2_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"tr|D3ZA53|D3ZA53_RAT",2,3,0,1.47088922618513,0.537595367836282,NA,0.933293858348845,NA,NA,0.143452203147484,NA,NA,0,0,0
"tr|D4A678|D4A678_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"sp|Q80ZG5|SLU7_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"tr|F1MA76|F1MA76_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"tr|D3ZRD9|D3ZRD9_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"tr|M0R455|M0R455_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"sp|P11497|ACACA_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"tr|Q6P3V8|Q6P3V8_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"tr|B1WBT6|B1WBT6_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"tr|D3ZVW3|D3ZVW3_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"tr|D3ZWB4|D3ZWB4_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"sp|Q3B8N8|PESC_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"tr|D4AAU6|D4AAU6_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"tr|M0RD14|M0RD14_RAT",3,3,2,1.63867617108345,0.794868563231964,-1.74644177762791,0.843807607851487,3.38511794871136,2.54131034085988,0.0959469075112822,0.000733225802942051,0.00268174819170112,0,1,1
"sp|P62260|1433E_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"sp|P05065|ALDOA_RAT",3,3,3,1.93205383563233,1.37852593892038,-0.630612716873381,0.553527896711948,2.56266655250571,2.00913865579377,0.00182296850521983,2.99996493879293e-07,1.27112154431274e-06,1,1,1
"sp|Q6P6R2|DLDH_RAT",3,3,1,1.69394233948075,1.36267127368247,-0.0733750477694163,0.331271065798285,1.76731738725017,1.43604632145189,0.315007789653655,0.0123479872373296,0.024482814704474,0,1,1
"sp|P47863|AQP4_RAT",3,3,0,2.0892018345093,1.64147693435081,NA,0.447724900158488,NA,NA,0.112005006409398,NA,NA,0,0,0
"sp|P02091|HBB1_RAT",3,3,3,1.4503479853099,1.09095591036512,-0.649903455219,0.359392074944774,2.1002514405289,1.74085936558412,0.100413299364016,2.81818074798373e-05,8.24250086327952e-05,0,1,1
"sp|P52873|PYC_RAT",3,3,3,1.67786713567076,1.44626165362799,0.869596218206261,0.231605482042774,0.808270917464499,0.576665435421725,0.503618958589194,0.0476616499168945,0.126956060510425,0,1,0
"sp|Q5DT39|KLRI1_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"sp|P35213|1433B_RAT",3,3,3,1.68207547720192,1.14102196301862,-1.35247493893761,0.5410535141833,3.03455041613953,2.49349690195623,0.0639014927519161,1.45056708357872e-05,4.50584127728741e-05,0,1,1
"sp|P34058|HS90B_RAT",3,3,1,1.60855514320821,1.17800985562141,-0.60340178737249,0.430545287586793,2.2119569305807,1.7814116429939,0.229444032029927,0.0067553167637079,0.0143100478850753,0,1,1
"sp|P16617|PGK1_RAT",3,3,3,1.87156463860213,1.30942151535832,-1.19800006642682,0.562143123243805,3.06956470502894,2.50742158178514,0.067665957168964,1.88677062147843e-05,6.03685443048959e-05,0,1,1
"tr|F1M1Y1|F1M1Y1_RAT",3,3,2,2.82642262026628,2.00100493692549,-0.239981057126807,0.825417683340783,3.06640367739309,2.2409859940523,0.0617500087203531,0.000501952654455577,0.00210850892116477,0,1,1
