"Protein","Count_NP","Count_Comp","Count_ABP","Mean_NP","Mean_Comp","Mean_ABP","Fold_change_NP_vs_Comp","Fold_change_NP_vs_ABP","Fold_change_Comp_vs_ABP","P_value_A_NP_vs_Comp","P_value_A_NP_vs_ABP","P_value_A_Comp_vs_ABP","Flag_A_NP_vs_Comp","Flag_A_NP_vs_ABP","Flag_A_Comp_vs_ABP","Protein_Collection_ID","Protein_Collection","Description","Reference_ID","Residue_Count","Monoisotopic_Mass","Protein_ID"
"tr|D4A5Y9|D4A5Y9_RAT",1,0,0,4.44812310818071,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","SLAIN motif family, member 1 OS=Rattus norvegicus (Rat) OX=10116",143093630,293,31657.616526053,49660138
"sp|P35435|ATPG_RAT",3,3,3,4.72187285105537,4.72349982690014,4.71640145090269,-0.00162697584477201,0.00547140015267633,0.00709837599744834,0.980888323814121,0.935809041779315,0.91679899641145,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","ATP synthase subunit gamma, mitochondrial OS=Rattus norvegicus (",143080522,273,30171.71484375,5252992
"tr|F1LWL7|F1LWL7_RAT",0,1,0,NA,4.52904080893221,NA,NA,NA,NA,NA,NA,NA,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","Uncharacterized protein OS=Rattus norvegicus (Rat) OX=10116 GN=Z",143095596,284,32112.878153012,49661218
"tr|M0RA79|M0RA79_RAT",1,0,1,4.68358890647287,NA,4.71597942619586,NA,-0.0323905197229903,NA,NA,NA,NA,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","Ig-like domain-containing protein OS=Rattus norvegicus (Rat) OX=",143097975,99,10952.419888184,49663515
"tr|A0A0G2K290|A0A0G2K290_RAT",2,3,3,5.27899886359763,5.41333006021609,5.71626667042685,-0.13433119661846,-0.43726780682922,-0.30293661021076,0.802727359229431,0.430333910030686,0.53595753309863,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","Ig-like domain-containing protein OS=Rattus norvegicus (Rat) OX=",143087359,124,13895.705660985,49656820
"tr|A0A0G2JVM2|A0A0G2JVM2_RAT",3,2,0,4.72201784928383,4.72984178809772,NA,-0.00782393881389343,NA,NA,0.940224490029686,NA,NA,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","Uncharacterized protein OS=Rattus norvegicus (Rat) OX=10116 GN=M",143086585,1377,153374.84157865,49655558
"sp|Q63603|DOCK9_RAT",1,1,0,4.81629638139666,4.63593759392578,NA,0.180358787470882,NA,NA,NA,NA,NA,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","Dedicator of cytokinesis protein 9 (Fragment) OS=Rattus norvegic",143083705,720,82401.578125,217700
"tr|F1M4J9|F1M4J9_RAT",0,1,0,NA,4.6219485786792,NA,NA,NA,NA,NA,NA,NA,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","HMG box domain-containing protein OS=Rattus norvegicus (Rat) OX=",143096155,175,20189.069322274,49661675
"tr|M0RA77|M0RA77_RAT",1,0,0,4.84946213263234,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","Phospholipid scramblase OS=Rattus norvegicus (Rat) OX=10116 GN=P",143097973,275,30603.260745929,49663514
"tr|D3ZCH5|D3ZCH5_RAT",0,1,0,NA,4.69631935621058,NA,NA,NA,NA,NA,NA,NA,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","40S ribosomal protein S25 OS=Rattus norvegicus (Rat) OX=10116 GN",143089814,130,14323.950134204,49659168
"tr|A0A0G2K1V7|A0A0G2K1V7_RAT",0,0,1,NA,NA,4.7645273676313,NA,NA,NA,NA,NA,NA,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","Beta-sarcoglycan OS=Rattus norvegicus (Rat) OX=10116 GN=Sgcb PE=",143087310,320,34936.8671875,224147
"tr|D3ZYT2|D3ZYT2_RAT",1,1,1,4.87030152590252,4.71760421350967,4.66892949082517,0.152697312392849,0.201372035077355,0.0486747226845061,NA,NA,NA,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","S5 DRBM domain-containing protein OS=Rattus norvegicus (Rat) OX=",143092673,432,48106.05078125,215468
"sp|P49804|RGS8_RAT",1,1,0,4.68681615247229,4.84814353467062,NA,-0.16132738219833,NA,NA,NA,NA,NA,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","Regulator of G-protein signaling 8 OS=Rattus norvegicus (Rat) OX",143080794,180,20935.642578125,213515
"tr|D3ZYM7|D3ZYM7_RAT",0,1,0,NA,4.64067317424197,NA,NA,NA,NA,NA,NA,NA,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","LYR motif-containing 4 OS=Rattus norvegicus (Rat) OX=10116 GN=Ly",143092649,91,10809.711914062,217633
"tr|G3V992|G3V992_RAT",1,0,0,4.69715081050926,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","Transcription initiation factor IIE subunit alpha OS=Rattus norv",143097089,438,49197.875,213556
"sp|D3ZDK7|PGP_RAT",1,2,1,4.73674643261239,4.76860961152986,4.76148017716211,-0.0318631789174777,-0.0247337445497209,0.00712943436775682,0.487720689678352,0.611756645892436,0.854537048535773,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","Glycerol-3-phosphate phosphatase OS=Rattus norvegicus (Rat) OX=1",143078443,321,34578.7109375,227329
"sp|P24528|MGMT_RAT",0,2,0,NA,4.7100198167181,NA,NA,NA,NA,NA,NA,NA,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","Methylated-DNA--protein-cysteine methyltransferase OS=Rattus nor",143080232,209,22229.439453125,5197483
"sp|Q9QZM5|ABI1_RAT",0,2,1,NA,4.61556051530094,4.70773536776355,NA,NA,-0.0921748524626098,NA,NA,0.303402539446779,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","Abl interactor 1 OS=Rattus norvegicus (Rat) OX=10116 GN=Abi1 PE=",143085862,476,51672.8984375,5197252
"tr|G3V7B0|G3V7B0_RAT",0,0,1,NA,NA,4.73290515814431,NA,NA,NA,NA,NA,NA,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","CLP1_P domain-containing protein OS=Rattus norvegicus (Rat) OX=1",143096907,714,80805.671875,5198115
"tr|Q6AXQ1|Q6AXQ1_RAT",2,0,0,4.80795338470098,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","Fascin OS=Rattus norvegicus (Rat) OX=10116 GN=Fscn3 PE=1 SV=1",143099183,498,56312.1015625,212988
"tr|G3V9H5|G3V9H5_RAT",1,1,3,4.6040031173844,4.83936447477758,4.72874709600208,-0.235361357393182,-0.124743978617682,0.110617378775499,0.0405165961187176,0.0888975773205572,0.109226287157783,-1,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","MFS domain-containing protein OS=Rattus norvegicus (Rat) OX=1011",143097112,552,62177.650123761,49662776
"tr|B2RZA5|B2RZA5_RAT",1,0,0,4.60913353652418,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","PrdX deacylase domain-containing protein 1 OS=Rattus norvegicus",143089025,169,18768.68359375,215834
"tr|A0A0G2K1I1|A0A0G2K1I1_RAT",0,1,1,NA,4.71175743529413,4.95892357601528,NA,NA,-0.247166140721154,NA,NA,NA,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","WSC domain-containing 2 OS=Rattus norvegicus (Rat) OX=10116 GN=W",143087272,572,64680.404462741,49656673
"tr|D3ZFF1|D3ZFF1_RAT",0,1,0,NA,4.57153487910862,NA,NA,NA,NA,NA,NA,NA,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","60S ribosomal protein L29 OS=Rattus norvegicus (Rat) OX=10116 GN",143090212,163,18352.137723372,19352092
"sp|B0BNG0|EMC2_RAT",0,0,2,NA,NA,4.72778049997125,NA,NA,NA,NA,NA,NA,0,0,0,3660,"Rattus_norvegicus_UniProt_2020-06-29","ER membrane protein complex subunit 2 OS=Rattus norvegicus (Rat)",143078215,297,34847.37109375,225484
